ID,Brand,Product,Price
1018,OTHER,VEGETA CAN 24/250 GR," $66,00 "
1019,OTHER,VEGIE TURK MINCED MOLOKHIA 20/400 GR," $22,00 "
1020,OTHER,VEGIE TURK OKRA #0 20/400 GR," $45,00 "
1021,VIMTO,VIMTO CANS 24/355 ML," $21,50 "
1022,VIMTO,VIMTO SYRUP - SAUDI 12/24 OZ," $69,00 "
1023,OTHER,VITRAC TAMERHINDY CONCENTRATE 12/0.7 LT," $45,00 "
1024,OTHER,VITRAC APRICOT CONCENTRATE 12/0.7 LT," $45,00 "
1025,OTHER,WELLMADE MULTIFLOWER HONEY IN JAR 12/450 GR," $39,00 "
1026,OTHER,YORUKSUT KAYMAK KASHTA 24/100 GR," $68,00 "
1027,OTHER,ZALLOUM LIQUID JAMEED (500 GR X 2) X 8 PCS," $72,00 "
1028,OTHER,ZAM ZAM WATER 12/500 ML," $32,80 "
1029,OTHER,ZIYAD MEDJOOL DATES LARGE 11 LBS," $57,60 "
1030,OTHER,ZIYAD SEMOLINA FINE 12/32 OZ," $38,00 "
1031,OTHER,ZIYAD SEMOLINA COARSE 12/32 OZ," $43,50 "
1032,OTHER,ZIYAD CRACKED WHEAT #3 12/2 LBS," $37,00 "
1033,OTHER,ZIYAD CRACKED WHEAT #4 12/2 LBS," $37,00 "
1034,OTHER,ZIYAD CRACKED WHEAT #2 12/2 LBS," $37,00 "
1035,OTHER,ZIYAD CRACKED WHEAT #1 12/2 LBS," $37,00 "
1036,OTHER,ZIYAD BAKING DATES 24/13 OZ," $63,80 "
1037,OTHER,ZIYAD HALAL WHITE MARSHMALLOWS 24/8.82 OZ," $46,00 "
1038,OTHER,ZNABILI SOAP 6/4 PCS," $29,00 "
1039,OTHER,ZNABILI SOAP 50 PCS," $58,00 "
1040,OTHER,ZWAN CHICKEN LUNCHEON HALAL 24/12 OZ," $89,50 "
